aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 summaarinen, summaarisen, summaarista, summaarisena, summaariseen, summaaristen, summaarisia, summaarisina, summaarisissa, summaarisiin
 summittainen, summittaisen, summittaista, summittaisena, summittaiseen, summittaisten, summittaisia, summittaisina, summittaisissa, summittaisiin
 suomalainen, suomalaisen, suomalaista, suomalaisena, suomalaiseen, suomalaisten, suomalaisia, suomalaisina, suomalaisissa, suomalaisiin
 suopea, suopean, suopeaa, suopeana, suopeaan, suopeiden, suopeita, suopeina, suopeissa, suopeisiin
 suora, suoran, suoraa, suorana, suoraan, suorien, suoria, suorina, suorissa, suoriin
 suosiollinen, suosiollisen, suosiollista, suosiollisena, suosiolliseen, suosiollisten, suosiollisia, suosiollisina, suosiollisissa, suosiollisiin
 suotuisa, suotuisan, suotuisaa, suotuisana, suotuisaan, suotuisien, suotuisia, suotuisina, suotuisissa, suotuisiin
 suppea, suppean, suppeaa, suppeana, suppeaan, suppeiden, suppeita, suppeina, suppeissa, suppeisiin
 surkea, surkean, surkeaa, surkeana, surkeaan, surkeiden, surkeita, surkeina, surkeissa, surkeisiin
 surullinen, surullisen, surullista, surullisena, surulliseen, surullisten, surullisia, surullisina, surullisissa, surullisiin
 suulas, suulaan, suulasta, suulaana, suulaaseen, suulaiden, suulaita, suulaina, suulaissa, suulaisiin
 suullinen, suullisen, suullista, suullisena, suulliseen, suullisten, suullisia, suullisina, suullisissa, suullisiin
 suunnitelmallinen, suunnitelmallisen, suunnitelmallista, suunnitelmallisena, suunnitelmalliseen, suunnitelmallisten, suunnitelmallisia, suunnitelmallisina, suunnitelmallisissa, suunnitelmallisiin
 suuntainen, suuntaisen, suuntaista, suuntaisena, suuntaiseen, suuntaisten, suuntaisia, suuntaisina, suuntaisissa, suuntaisiin
 suurellinen, suurellisen, suurellista, suurellisena, suurelliseen, suurellisten, suurellisia, suurellisina, suurellisissa, suurellisiin
 suurenmoinen, suurenmoisen, suurenmoista, suurenmoisena, suurenmoiseen, suurenmoisten, suurenmoisia, suurenmoisina, suurenmoisissa, suurenmoisiin
 suuri, suuren, suurta, suurena, suureen, suurten, suuria, suurina, suurissa, suuriin
 suvaitseva, suvaitsevan, suvaitsevaa, suvaitsevana, suvaitsevaan, suvaitsevien, suvaitsevia, suvaitsevina, suvaitsevissa, suvaitseviin
 suvaitsevainen, suvaitsevaisen, suvaitsevaista, suvaitsevaisena, suvaitsevaiseen, suvaitsevaisten, suvaitsevaisia, suvaitsevaisina, suvaitsevaisissa, suvaitsevaisiin
 suvereeni, suvereenin, suvereenia, suvereenina, suvereeniin, suvereenien, suvereeneja, suvereeneina, suvereeneissa, suvereeneihin
 suvereeninen, suvereenisen, suvereenista, suvereenisena, suvereeniseen, suvereenisten, suvereenisia, suvereenisina, suvereenisissa, suvereenisiin
 suvullinen, suvullisen, suvullista, suvullisena, suvulliseen, suvullisten, suvullisia, suvullisina, suvullisissa, suvullisiin
 sydämellinen, sydämellisen, sydämellistä, sydämellisenä, sydämelliseen, sydämellisten, sydämellisiä, sydämellisinä, sydämellisissä, sydämellisiin
 symbioottinen, symbioottisen, symbioottista, symbioottisena, symbioottiseen, symbioottisten, symbioottisia, symbioottisina, symbioottisissa, symbioottisiin
 symbolinen, symbolisen, symbolista, symbolisena, symboliseen, symbolisten, symbolisia, symbolisina, symbolisissa, symbolisiin
 symmetrinen, symmetrisen, symmetristä, symmetrisenä, symmetriseen, symmetristen, symmetrisiä, symmetrisinä, symmetrisissä, symmetrisiin
 sympaattinen, sympaattisen, sympaattista, sympaattisena, sympaattiseen, sympaattisten, sympaattisia, sympaattisina, sympaattisissa, sympaattisiin
 synnillinen, synnillisen, synnillistä, synnillisenä, synnilliseen, synnillisten, synnillisiä, synnillisinä, synnillisissä, synnillisiin
 synnynnäinen, synnynnäisen, synnynnäistä, synnynnäisenä, synnynnäiseen, synnynnäisten, synnynnäisiä, synnynnäisinä, synnynnäisissä, synnynnäisiin
 synteettinen, synteettisen, synteettistä, synteettisenä, synteettiseen, synteettisten, synteettisiä, synteettisinä, synteettisissä, synteettisiin
 syntinen, syntisen, syntistä, syntisenä, syntiseen, syntisten, syntisiä, syntisinä, syntisissä, syntisiin
 syntyinen, syntyisen, syntyistä, syntyisenä, syntyiseen, syntyisten, syntyisiä, syntyisinä, syntyisissä, syntyisiin
 systeeminen, systeemisen, systeemistä, systeemisenä, systeemiseen, systeemisten, systeemisiä, systeemisinä, systeemisissä, systeemisiin
 systemaattinen, systemaattisen, systemaattista, systemaattisena, systemaattiseen, systemaattisten, systemaattisia, systemaattisina, systemaattisissa, systemaattisiin
 syvä, syvän, syvää, syvänä, syvään, syvien, syviä, syvinä, syvissä, syviin
 syvällinen, syvällisen, syvällistä, syvällisenä, syvälliseen, syvällisten, syvällisiä, syvällisinä, syvällisissä, syvällisiin
 sähköinen, sähköisen, sähköistä, sähköisenä, sähköiseen, sähköisten, sähköisiä, sähköisinä, sähköisissä, sähköisiin
 säntillinen, säntillisen, säntillistä, säntillisenä, säntilliseen, säntillisten, säntillisiä, säntillisinä, säntillisissä, säntillisiin
 särmikäs, särmikkään, särmikästä, särmikkäänä, särmikkääseen, särmikkäiden, särmikkäitä, särmikkäinä, särmikkäissä, särmikkäisiin
 säteittäinen, säteittäisen, säteittäistä, säteittäisenä, säteittäiseen, säteittäisten, säteittäisiä, säteittäisinä, säteittäisissä, säteittäisiin
 sävyinen, sävyisen, sävyistä, sävyisenä, sävyiseen, sävyisten, sävyisiä, sävyisinä, sävyisissä, sävyisiin
 säyseä, säyseän, säyseää, säyseänä, säyseään, säyseiden, säyseitä, säyseinä, säyseissä, säyseisiin
 säädyllinen, säädyllisen, säädyllistä, säädyllisenä, säädylliseen, säädyllisten, säädyllisiä, säädyllisinä, säädyllisissä, säädyllisiin
 säällinen, säällisen, säällistä, säällisenä, säälliseen, säällisten, säällisiä, säällisinä, säällisissä, säällisiin
 säännöllinen, säännöllisen, säännöllistä, säännöllisenä, säännölliseen, säännöllisten, säännöllisiä, säännöllisinä, säännöllisissä, säännöllisiin
 säästeliäs, säästeliään, säästeliästä, säästeliäänä, säästeliääseen, säästeliäiden, säästeliäitä, säästeliäinä, säästeliäissä, säästeliäisiin
 säästäväinen, säästäväisen, säästäväistä, säästäväisenä, säästäväiseen, säästäväisten, säästäväisiä, säästäväisinä, säästäväisissä, säästäväisiin
 söpö, söpön, söpöä, söpönä, söpöön, söpöjen, söpöjä, söpöinä, söpöissä, söpöihin
 taaja, taajan, taajaa, taajana, taajaan, taajojen, taajoja, taajoina, taajoissa, taajoihin
 taantumuksellinen, taantumuksellisen, taantumuksellista, taantumuksellisena, taantumukselliseen, taantumuksellisten, taantumuksellisia, taantumuksellisina, taantumuksellisissa, taantumuksellisiin
 tahallinen, tahallisen, tahallista, tahallisena, tahalliseen, tahallisten, tahallisia, tahallisina, tahallisissa, tahallisiin
 tahdikas, tahdikkaan, tahdikasta, tahdikkaana, tahdikkaaseen, tahdikkaiden, tahdikkaita, tahdikkaina, tahdikkaissa, tahdikkaisiin
 tahmea, tahmean, tahmeaa, tahmeana, tahmeaan, tahmeiden, tahmeita, tahmeina, tahmeissa, tahmeisiin
 tahtoinen, tahtoisen, tahtoista, tahtoisena, tahtoiseen, tahtoisten, tahtoisia, tahtoisina, tahtoisissa, tahtoisiin
 taidokas, taidokkaan, taidokasta, taidokkaana, taidokkaaseen, taidokkaiden, taidokkaita, taidokkaina, taidokkaissa, taidokkaisiin
 taidollinen, taidollisen, taidollista, taidollisena, taidolliseen, taidollisten, taidollisia, taidollisina, taidollisissa, taidollisiin
 taipuisa, taipuisan, taipuisaa, taipuisana, taipuisaan, taipuisien, taipuisia, taipuisina, taipuisissa, taipuisiin
 taitava, taitavan, taitavaa, taitavana, taitavaan, taitavien, taitavia, taitavina, taitavissa, taitaviin
 taiteellinen, taiteellisen, taiteellista, taiteellisena, taiteelliseen, taiteellisten, taiteellisia, taiteellisina, taiteellisissa, taiteellisiin
 taiturillinen, taiturillisen, taiturillista, taiturillisena, taiturilliseen, taiturillisten, taiturillisia, taiturillisina, taiturillisissa, taiturillisiin
 taivaallinen, taivaallisen, taivaallista, taivaallisena, taivaalliseen, taivaallisten, taivaallisia, taivaallisina, taivaallisissa, taivaallisiin
 tajuinen, tajuisen, tajuista, tajuisena, tajuiseen, tajuisten, tajuisia, tajuisina, tajuisissa, tajuisiin
 takapajuinen, takapajuisen, takapajuista, takapajuisena, takapajuiseen, takapajuisten, takapajuisia, takapajuisina, takapajuisissa, takapajuisiin
 takaperoinen, takaperoisen, takaperoista, takaperoisena, takaperoiseen, takaperoisten, takaperoisia, takaperoisina, takaperoisissa, takaperoisiin
 takkuinen, takkuisen, takkuista, takkuisena, takkuiseen, takkuisten, takkuisia, takkuisina, takkuisissa, takkuisiin
 taktinen, taktisen, taktista, taktisena, taktiseen, taktisten, taktisia, taktisina, taktisissa, taktisiin
 taloudellinen, taloudellisen, taloudellista, taloudellisena, taloudelliseen, taloudellisten, taloudellisia, taloudellisina, taloudellisissa, taloudellisiin
 tapainen, tapaisen, tapaista, tapaisena, tapaiseen, tapaisten, tapaisia, tapaisina, tapaisissa, tapaisiin
 tapaturmainen, tapaturmaisen, tapaturmaista, tapaturmaisena, tapaturmaiseen, tapaturmaisten, tapaturmaisia, tapaturmaisina, tapaturmaisissa, tapaturmaisiin
 tappiollinen, tappiollisen, tappiollista, tappiollisena, tappiolliseen, tappiollisten, tappiollisia, tappiollisina, tappiollisissa, tappiollisiin
 tarkkaava, tarkkaavan, tarkkaavaa, tarkkaavana, tarkkaavaan, tarkkaavien, tarkkaavia, tarkkaavina, tarkkaavissa, tarkkaaviin
 tarkkaavainen, tarkkaavaisen, tarkkaavaista, tarkkaavaisena, tarkkaavaiseen, tarkkaavaisten, tarkkaavaisia, tarkkaavaisina, tarkkaavaisissa, tarkkaavaisiin
 tarkoituksellinen, tarkoituksellisen, tarkoituksellista, tarkoituksellisena, tarkoitukselliseen, tarkoituksellisten, tarkoituksellisia, tarkoituksellisina, tarkoituksellisissa, tarkoituksellisiin
 tarmokas, tarmokkaan, tarmokasta, tarmokkaana, tarmokkaaseen, tarmokkaiden, tarmokkaita, tarmokkaina, tarmokkaissa, tarmokkaisiin
 tasainen, tasaisen, tasaista, tasaisena, tasaiseen, tasaisten, tasaisia, tasaisina, tasaisissa, tasaisiin
 tasajatkuinen, tasajatkuisen, tasajatkuista, tasajatkuisena, tasajatkuiseen, tasajatkuisten, tasajatkuisia, tasajatkuisina, tasajatkuisissa, tasajatkuisiin
 tasavaltainen, tasavaltaisen, tasavaltaista, tasavaltaisena, tasavaltaiseen, tasavaltaisten, tasavaltaisia, tasavaltaisina, tasavaltaisissa, tasavaltaisiin
 tautinen, tautisen, tautista, tautisena, tautiseen, tautisten, tautisia, tautisina, tautisissa, tautisiin
 tavallinen, tavallisen, tavallista, tavallisena, tavalliseen, tavallisten, tavallisia, tavallisina, tavallisissa, tavallisiin
 tavoitteellinen, tavoitteellisen, tavoitteellista, tavoitteellisena, tavoitteelliseen, tavoitteellisten, tavoitteellisia, tavoitteellisina, tavoitteellisissa, tavoitteellisiin
 teatraalinen, teatraalisen, teatraalista, teatraalisena, teatraaliseen, teatraalisten, teatraalisia, teatraalisina, teatraalisissa, teatraalisiin
 teennäinen, teennäisen, teennäistä, teennäisenä, teennäiseen, teennäisten, teennäisiä, teennäisinä, teennäisissä, teennäisiin
 tehoinen, tehoisen, tehoista, tehoisena, tehoiseen, tehoisten, tehoisia, tehoisina, tehoisissa, tehoisiin
 tehokas, tehokkaan, tehokasta, tehokkaana, tehokkaaseen, tehokkaiden, tehokkaita, tehokkaina, tehokkaissa, tehokkaisiin
 tekninen, teknisen, teknistä, teknisenä, tekniseen, teknisten, teknisiä, teknisinä, teknisissä, teknisiin
 tekoinen, tekoisen, tekoista, tekoisena, tekoiseen, tekoisten, tekoisia, tekoisina, tekoisissa, tekoisiin
 teleskooppinen, teleskooppisen, teleskooppista, teleskooppisena, teleskooppiseen, teleskooppisten, teleskooppisia, teleskooppisina, teleskooppisissa, teleskooppisiin
 teollinen, teollisen, teollista, teollisena, teolliseen, teollisten, teollisia, teollisina, teollisissa, teollisiin
 teoreettinen, teoreettisen, teoreettista, teoreettisena, teoreettiseen, teoreettisten, teoreettisia, teoreettisina, teoreettisissa, teoreettisiin
 terhakas, terhakkaan, terhakasta, terhakkaana, terhakkaaseen, terhakkaiden, terhakkaita, terhakkaina, terhakkaissa, terhakkaisiin
 terve, terveen, tervettä, terveenä, terveeseen, terveiden, terveitä, terveinä, terveissä, terveisiin
 terveellinen, terveellisen, terveellistä, terveellisenä, terveelliseen, terveellisten, terveellisiä, terveellisinä, terveellisissä, terveellisiin
 terävä, terävän, terävää, terävänä, terävään, terävien, teräviä, terävinä, terävissä, teräviin
 tieteellinen, tieteellisen, tieteellistä, tieteellisenä, tieteelliseen, tieteellisten, tieteellisiä, tieteellisinä, tieteellisissä, tieteellisiin
 tietävä, tietävän, tietävää, tietävänä, tietävään, tietävien, tietäviä, tietävinä, tietävissä, tietäviin
 tiheä, tiheän, tiheää, tiheänä, tiheään, tiheiden, tiheitä, tiheinä, tiheissä, tiheisiin
 tiivis, tiiviin, tiivistä, tiiviinä, tiiviiseen, tiiviiden, tiiviitä, tiiviinä, tiiviissä, tiiviisiin
 tilastollinen, tilastollisen, tilastollista, tilastollisena, tilastolliseen, tilastollisten, tilastollisia, tilastollisina, tilastollisissa, tilastollisiin
 tilava, tilavan, tilavaa, tilavana, tilavaan, tilavien, tilavia, tilavina, tilavissa, tilaviin
 tiukkapipoinen, tiukkapipoisen, tiukkapipoista, tiukkapipoisena, tiukkapipoiseen, tiukkapipoisten, tiukkapipoisia, tiukkapipoisina, tiukkapipoisissa, tiukkapipoisiin
 todellinen, todellisen, todellista, todellisena, todelliseen, todellisten, todellisia, todellisina, todellisissa, todellisiin
 todisteellinen, todisteellisen, todisteellista, todisteellisena, todisteelliseen, todisteellisten, todisteellisia, todisteellisina, todisteellisissa, todisteellisiin
 toimekas, toimekkaan, toimekasta, toimekkaana, toimekkaaseen, toimekkaiden, toimekkaita, toimekkaina, toimekkaissa, toimekkaisiin
 toimelias, toimeliaan, toimeliasta, toimeliaana, toimeliaaseen, toimeliaiden, toimeliaita, toimeliaina, toimeliaissa, toimeliaisiin
 toiveikas, toiveikkaan, toiveikasta, toiveikkaana, toiveikkaaseen, toiveikkaiden, toiveikkaita, toiveikkaina, toiveikkaissa, toiveikkaisiin
 toivottava, toivottavan, toivottavaa, toivottavana, toivottavaan, toivottavien, toivottavia, toivottavina, toivottavissa, toivottaviin
 tomera, tomeran, tomeraa, tomerana, tomeraan, tomerien, tomeria, tomerina, tomerissa, tomeriin
 tonaalinen, tonaalisen, tonaalista, tonaalisena, tonaaliseen, tonaalisten, tonaalisia, tonaalisina, tonaalisissa, tonaalisiin
 topografinen, topografisen, topografista, topografisena, topografiseen, topografisten, topografisia, topografisina, topografisissa, topografisiin
 torjuva, torjuvan, torjuvaa, torjuvana, torjuvaan, torjuvien, torjuvia, torjuvina, torjuvissa, torjuviin
 totaalinen, totaalisen, totaalista, totaalisena, totaaliseen, totaalisten, totaalisia, totaalisina, totaalisissa, totaalisiin
 totalitaarinen, totalitaarisen, totalitaarista, totalitaarisena, totalitaariseen, totalitaaristen, totalitaarisia, totalitaarisina, totalitaarisissa, totalitaarisiin
 totinen, totisen, totista, totisena, totiseen, totisten, totisia, totisina, totisissa, totisiin
 tottelevainen, tottelevaisen, tottelevaista, tottelevaisena, tottelevaiseen, tottelevaisten, tottelevaisia, tottelevaisina, tottelevaisissa, tottelevaisiin
 totuudellinen, totuudellisen, totuudellista, totuudellisena, totuudelliseen, totuudellisten, totuudellisia, totuudellisina, totuudellisissa, totuudellisiin
 touhukas, touhukkaan, touhukasta, touhukkaana, touhukkaaseen, touhukkaiden, touhukkaita, touhukkaina, touhukkaissa, touhukkaisiin
 toverillinen, toverillisen, toverillista, toverillisena, toverilliseen, toverillisten, toverillisia, toverillisina, toverillisissa, toverillisiin
 traaginen, traagisen, traagista, traagisena, traagiseen, traagisten, traagisia, traagisina, traagisissa, traagisiin
 traditionaalinen, traditionaalisen, traditionaalista, traditionaalisena, traditionaaliseen, traditionaalisten, traditionaalisia, traditionaalisina, traditionaalisissa, traditionaalisiin
 trendikäs, trendikkään, trendikästä, trendikkäänä, trendikkääseen, trendikkäiden, trendikkäitä, trendikkäinä, trendikkäissä, trendikkäisiin
 triviaali, triviaalin, triviaalia, triviaalina, triviaaliin, triviaalien, triviaaleja, triviaaleina, triviaaleissa, triviaaleihin
 tuhma, tuhman, tuhmaa, tuhmana, tuhmaan, tuhmien, tuhmia, tuhmina, tuhmissa, tuhmiin
 tuhoisa, tuhoisan, tuhoisaa, tuhoisana, tuhoisaan, tuhoisien, tuhoisia, tuhoisina, tuhoisissa, tuhoisiin
 tuhruinen, tuhruisen, tuhruista, tuhruisena, tuhruiseen, tuhruisten, tuhruisia, tuhruisina, tuhruisissa, tuhruisiin
 tuikea, tuikean, tuikeaa, tuikeana, tuikeaan, tuikeiden, tuikeita, tuikeina, tuikeissa, tuikeisiin
 tuima, tuiman, tuimaa, tuimana, tuimaan, tuimien, tuimia, tuimina, tuimissa, tuimiin
 tukala, tukalan, tukalaa, tukalana, tukalaan, tukalien, tukalia, tukalina, tukalissa, tukaliin
 tukeva, tukevan, tukevaa, tukevana, tukevaan, tukevien, tukevia, tukevina, tukevissa, tukeviin
 tukkoinen, tukkoisen, tukkoista, tukkoisena, tukkoiseen, tukkoisten, tukkoisia, tukkoisina, tukkoisissa, tukkoisiin
 tulinen, tulisen, tulista, tulisena, tuliseen, tulisten, tulisia, tulisina, tulisissa, tulisiin
 tuloksekas, tuloksekkaan, tuloksekasta, tuloksekkaana, tuloksekkaaseen, tuloksekkaiden, tuloksekkaita, tuloksekkaina, tuloksekkaissa, tuloksekkaisiin
 tuloksellinen, tuloksellisen, tuloksellista, tuloksellisena, tulokselliseen, tuloksellisten, tuloksellisia, tuloksellisina, tuloksellisissa, tuloksellisiin
 tungetteleva, tungettelevan, tungettelevaa, tungettelevana, tungettelevaan, tungettelevien, tungettelevia, tungettelevina, tungettelevissa, tungetteleviin
 tunkeileva, tunkeilevan, tunkeilevaa, tunkeilevana, tunkeilevaan, tunkeilevien, tunkeilevia, tunkeilevina, tunkeilevissa, tunkeileviin
 tunnokas, tunnokkaan, tunnokasta, tunnokkaana, tunnokkaaseen, tunnokkaiden, tunnokkaita, tunnokkaina, tunnokkaissa, tunnokkaisiin
 tunnollinen, tunnollisen, tunnollista, tunnollisena, tunnolliseen, tunnollisten, tunnollisia, tunnollisina, tunnollisissa, tunnollisiin
 tunnustuksellinen, tunnustuksellisen, tunnustuksellista, tunnustuksellisena, tunnustukselliseen, tunnustuksellisten, tunnustuksellisia, tunnustuksellisina, tunnustuksellisissa, tunnustuksellisiin
 tunteellinen, tunteellisen, tunteellista, tunteellisena, tunteelliseen, tunteellisten, tunteellisia, tunteellisina, tunteellisissa, tunteellisiin
 tunteikas, tunteikkaan, tunteikasta, tunteikkaana, tunteikkaaseen, tunteikkaiden, tunteikkaita, tunteikkaina, tunteikkaissa, tunteikkaisiin
 tunteinen, tunteisen, tunteista, tunteisena, tunteiseen, tunteisten, tunteisia, tunteisina, tunteisissa, tunteisiin
 tuntoinen, tuntoisen, tuntoista, tuntoisena, tuntoiseen, tuntoisten, tuntoisia, tuntoisina, tuntoisissa, tuntoisiin
 tuntuinen, tuntuisen, tuntuista, tuntuisena, tuntuiseen, tuntuisten, tuntuisia, tuntuisina, tuntuisissa, tuntuisiin
 tuntuva, tuntuvan, tuntuvaa, tuntuvana, tuntuvaan, tuntuvien, tuntuvia, tuntuvina, tuntuvissa, tuntuviin
 tuore, tuoreen, tuoretta, tuoreena, tuoreeseen, tuoreiden, tuoreita, tuoreina, tuoreissa, tuoreisiin
 tuottamuksellinen, tuottamuksellisen, tuottamuksellista, tuottamuksellisena, tuottamukselliseen, tuottamuksellisten, tuottamuksellisia, tuottamuksellisina, tuottamuksellisissa, tuottamuksellisiin
 tuottava, tuottavan, tuottavaa, tuottavana, tuottavaan, tuottavien, tuottavia, tuottavina, tuottavissa, tuottaviin
 tuottelias, tuotteliaan, tuotteliasta, tuotteliaana, tuotteliaaseen, tuotteliaiden, tuotteliaita, tuotteliaina, tuotteliaissa, tuotteliaisiin
 tuottoisa, tuottoisan, tuottoisaa, tuottoisana, tuottoisaan, tuottoisien, tuottoisia, tuottoisina, tuottoisissa, tuottoisiin
 tupla, tuplan, tuplaa, tuplana, tuplaan, tuplien, tuplia, tuplina, tuplissa, tupliin
 turkanen, turkasen, turkasta, turkasena, turkaseen, turkasten, turkasia, turkasina, turkasissa, turkasiin
 turmiollinen, turmiollisen, turmiollista, turmiollisena, turmiolliseen, turmiollisten, turmiollisia, turmiollisina, turmiollisissa, turmiollisiin
 turvallinen, turvallisen, turvallista, turvallisena, turvalliseen, turvallisten, turvallisia, turvallisina, turvallisissa, turvallisiin
 tuskainen, tuskaisen, tuskaista, tuskaisena, tuskaiseen, tuskaisten, tuskaisia, tuskaisina, tuskaisissa, tuskaisiin
 tuskaisa, tuskaisan, tuskaisaa, tuskaisana, tuskaisaan, tuskaisien, tuskaisia, tuskaisina, tuskaisissa, tuskaisiin
 tuskallinen, tuskallisen, tuskallista, tuskallisena, tuskalliseen, tuskallisten, tuskallisia, tuskallisina, tuskallisissa, tuskallisiin
 tutkiva, tutkivan, tutkivaa, tutkivana, tutkivaan, tutkivien, tutkivia, tutkivina, tutkivissa, tutkiviin
 tuttavallinen, tuttavallisen, tuttavallista, tuttavallisena, tuttavalliseen, tuttavallisten, tuttavallisia, tuttavallisina, tuttavallisissa, tuttavallisiin
 tyhjentävä, tyhjentävän, tyhjentävää, tyhjentävänä, tyhjentävään, tyhjentävien, tyhjentäviä, tyhjentävinä, tyhjentävissä, tyhjentäviin
 tyhmä, tyhmän, tyhmää, tyhmänä, tyhmään, tyhmien, tyhmiä, tyhminä, tyhmissä, tyhmiin
 tyly, tylyn, tylyä, tylynä, tylyyn, tylyjen, tylyjä, tylyinä, tylyissä, tylyihin
 tympeä, tympeän, tympeää, tympeänä, tympeään, tympeiden, tympeitä, tympeinä, tympeissä, tympeisiin
 typerä, typerän, typerää, typeränä, typerään, typerien, typeriä, typerinä, typerissä, typeriin
 tyttömäinen, tyttömäisen, tyttömäistä, tyttömäisenä, tyttömäiseen, tyttömäisten, tyttömäisiä, tyttömäisinä, tyttömäisissä, tyttömäisiin
 tyydyttävä, tyydyttävän, tyydyttävää, tyydyttävänä, tyydyttävään, tyydyttävien, tyydyttäviä, tyydyttävinä, tyydyttävissä, tyydyttäviin
 tyylikäs, tyylikkään, tyylikästä, tyylikkäänä, tyylikkääseen, tyylikkäiden, tyylikkäitä, tyylikkäinä, tyylikkäissä, tyylikkäisiin
 tyylillinen, tyylillisen, tyylillistä, tyylillisenä, tyylilliseen, tyylillisten, tyylillisiä, tyylillisinä, tyylillisissä, tyylillisiin
 tyylinen, tyylisen, tyylistä, tyylisenä, tyyliseen, tyylisten, tyylisiä, tyylisinä, tyylisissä, tyylisiin
 tyyni, tyynen, tyyntä, tyynenä, tyyneen, tyynten, tyyniä, tyyninä, tyynissä, tyyniin
 tyypillinen, tyypillisen, tyypillistä, tyypillisenä, tyypilliseen, tyypillisten, tyypillisiä, tyypillisinä, tyypillisissä, tyypillisiin
 tyytyväinen, tyytyväisen, tyytyväistä, tyytyväisenä, tyytyväiseen, tyytyväisten, tyytyväisiä, tyytyväisinä, tyytyväisissä, tyytyväisiin
 työläs, työlään, työlästä, työläänä, työlääseen, työläiden, työläitä, työläinä, työläissä, työläisiin
 tähdellinen, tähdellisen, tähdellistä, tähdellisenä, tähdelliseen, tähdellisten, tähdellisiä, tähdellisinä, tähdellisissä, tähdellisiin
 tähysteinen, tähysteisen, tähysteistä, tähysteisenä, tähysteiseen, tähysteisten, tähysteisiä, tähysteisinä, tähysteisissä, tähysteisiin
 täpärä, täpärän, täpärää, täpäränä, täpärään, täpärien, täpäriä, täpärinä, täpärissä, täpäriin
 tärkeä, tärkeän, tärkeää, tärkeänä, tärkeään, tärkeiden, tärkeitä, tärkeinä, tärkeissä, tärkeisiin
 täsmällinen, täsmällisen, täsmällistä, täsmällisenä, täsmälliseen, täsmällisten, täsmällisiä, täsmällisinä, täsmällisissä, täsmällisiin
 tätimäinen, tätimäisen, tätimäistä, tätimäisenä, tätimäiseen, tätimäisten, tätimäisiä, tätimäisinä, tätimäisissä, tätimäisiin
 täydellinen, täydellisen, täydellistä, täydellisenä, täydelliseen, täydellisten, täydellisiä, täydellisinä, täydellisissä, täydellisiin
 täyteläinen, täyteläisen, täyteläistä, täyteläisenä, täyteläiseen, täyteläisten, täyteläisiä, täyteläisinä, täyteläisissä, täyteläisiin
 töhryinen, töhryisen, töhryistä, töhryisenä, töhryiseen, töhryisten, töhryisiä, töhryisinä, töhryisissä, töhryisiin
 tökerö, tökerön, tökeröä, tökerönä, tökeröön, tökeröjen, tökeröjä, tökeröinä, tökeröissä, tökeröihin
 törkeä, törkeän, törkeää, törkeänä, törkeään, törkeiden, törkeitä, törkeinä, törkeissä, törkeisiin
 törkyinen, törkyisen, törkyistä, törkyisenä, törkyiseen, törkyisten, törkyisiä, törkyisinä, törkyisissä, törkyisiin
 töykeä, töykeän, töykeää, töykeänä, töykeään, töykeiden, töykeitä, töykeinä, töykeissä, töykeisiin
 uhkaava, uhkaavan, uhkaavaa, uhkaavana, uhkaavaan, uhkaavien, uhkaavia, uhkaavina, uhkaavissa, uhkaaviin
 uhkea, uhkean, uhkeaa, uhkeana, uhkeaan, uhkeiden, uhkeita, uhkeina, uhkeissa, uhkeisiin
 uhmakas, uhmakkaan, uhmakasta, uhmakkaana, uhmakkaaseen, uhmakkaiden, uhmakkaita, uhmakkaina, uhmakkaissa, uhmakkaisiin
 uhrautuva, uhrautuvan, uhrautuvaa, uhrautuvana, uhrautuvaan, uhrautuvien, uhrautuvia, uhrautuvina, uhrautuvissa, uhrautuviin
 ujo, ujon, ujoa, ujona, ujoon, ujojen, ujoja, ujoina, ujoissa, ujoihin
 uljas, uljaan, uljasta, uljaana, uljaaseen, uljaiden, uljaita, uljaina, uljaissa, uljaisiin
 ulkoinen, ulkoisen, ulkoista, ulkoisena, ulkoiseen, ulkoisten, ulkoisia, ulkoisina, ulkoisissa, ulkoisiin
 ulkonainen, ulkonaisen, ulkonaista, ulkonaisena, ulkonaiseen, ulkonaisten, ulkonaisia, ulkonaisina, ulkonaisissa, ulkonaisiin
 umpimähkäinen, umpimähkäisen, umpimähkäista, umpimähkäisena, umpimähkäiseen, umpimähkäisten, umpimähkäisia, umpimähkäisina, umpimähkäisissa, umpimähkäisiin
 unelias, uneliaan, uneliasta, uneliaana, uneliaaseen, uneliaiden, uneliaita, uneliaina, uneliaissa, uneliaisiin
 uninen, unisen, unista, unisena, uniseen, unisten, unisia, unisina, unisissa, unisiin
 upea, upean, upeaa, upeana, upeaan, upeiden, upeita, upeina, upeissa, upeisiin
 uraauurtava, uraauurtavan, uraauurtavaa, uraauurtavana, uraauurtavaan, uraauurtavien, uraauurtavia, uraauurtavina, uraauurtavissa, uraauurtaviin
 urbaani, urbaanin, urbaania, urbaanina, urbaaniin, urbaaneiden, urbaaneita, urbaaneina, urbaaneissa, urbaaneihin
 urbaaninen, urbaanisen, urbaanista, urbaanisena, urbaaniseen, urbaanisten, urbaanisia, urbaanisina, urbaanisissa, urbaanisiin
 urhea, urhean, urheaa, urheana, urheaan, urheiden, urheita, urheina, urheissa, urheisiin
